unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/BottomUp,LGBMRegressor/BottomUp-lo-90,LGBMRegressor/BottomUp-lo-80,LGBMRegressor/BottomUp-hi-80,LGBMRegressor/BottomUp-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-26 20:00:00,95.00023660903376,0.0,1.5960104660294334,188.4044627520381,215.88366487374967,117.91245738525399,45.87304958251455,61.21196921175419,176.97090031575274,189.46312181333036,91.80416097448646,19.764753171747024,35.10367280098667,150.8626039049852,163.35482540256285,100.53155727202848,28.492149469289046,43.83106909852869,159.59000020252725,172.0822217001049
total,2025-05-26 21:00:00,65.61407783242801,18.777323114588093,27.527747383711233,103.70040828114477,112.45083255026792,90.27464518702826,44.67860783405181,56.29728525970121,121.60612736940672,133.42602909635875,54.99038364503946,9.394346292062998,21.013023717712407,86.3218658274179,98.14176755436995,67.63947412511449,22.04343677213805,33.66211419778746,98.97095630749295,110.790858034445
total,2025-05-26 22:00:00,44.16241046347251,11.289100659052936,15.423698631082015,72.901122295863,77.03572026789209,70.08306182175748,37.58075187402648,45.65921952172312,99.49775427223837,104.89092698529896,30.180096621965827,0.0,5.756254321931442,59.594789072446694,64.98796178550728,44.58516477143493,12.08285482370391,20.161322471400545,73.9998572219158,79.39302993497638
total,2025-05-26 23:00:00,29.120229694745607,17.108977239232175,17.500155952387388,40.740303437103826,41.131482150259046,56.597580517013796,44.0277592776452,46.90550108760522,65.0338719698009,67.85328172452009,15.613627201384018,3.043805962015418,5.921547771975432,24.04991865417111,26.869328408890304,30.083009843677843,17.51318860430924,20.390930414269256,38.51930129646493,41.33871105118413
total,2025-05-27 00:00:00,9.379803009356928,0.0,0.7034931380151512,18.056112880698706,18.369460952200747,31.440499981265425,26.11384919920791,27.368827445000843,35.144429058381284,36.67171780805775,0.0,0.0,0.0,3.221584823654096,4.748873573330565,10.436462497329877,5.1098117152723646,6.364789961065297,14.14039157444574,15.667680324122209
total,2025-05-27 01:00:00,8.718592643143184,1.0048681374968926,1.1232754067863402,16.313909879500027,16.432317148789473,33.74084652327161,27.655081379833796,28.533169991817502,37.989945954278035,39.23168047552586,0.0,0.0,0.0,2.8551975687393214,4.096932089987156,10.508424599053068,4.422659455615254,5.300748067598962,14.757524030059493,15.999258551307328
total,2025-05-27 02:00:00,4.8887754567615955,0.0,0.0,9.4330071669603,9.49666462600208,29.09786483582805,23.901783993262317,24.99663174698277,33.2114613985979,34.64296532507967,0.0,0.0,0.0,0.0,0.0,6.21773770071018,1.021656858144444,2.116504611864901,10.33133426348003,11.762838189961798
total,2025-05-27 03:00:00,4.520705777573171,0.0,0.0,8.676375567055054,8.934313986455244,29.136681421324894,24.41037382094042,25.69433288885832,33.21291403709322,34.186783196373,0.0,0.0,0.0,0.0,0.0,6.040253978513688,1.3139463781292198,2.5979054460471196,10.116486594282014,11.090355753561795
total,2025-05-27 04:00:00,7.323058381964814,3.0414451524248363,3.198654572532515,11.447462191397113,11.604671611504791,31.249073997714344,25.54162226095253,26.581851402030455,35.9784484151383,36.9874828739864,0.0,0.0,0.0,1.3373550412523925,2.346389500100495,8.376714806420248,2.6692630696584367,3.709492210736363,13.106089223844208,14.115123682692312
total,2025-05-27 05:00:00,5.774671110848506,0.0,0.0,12.046809983937413,12.238751595270667,30.28115181981776,24.15274834439986,24.70279019523319,35.71399362781848,37.2178284518136,0.0,0.0,0.0,0.0,1.89415263527106,7.062324683654992,0.9339212082370917,1.4839630590704258,12.495166491655713,13.999001315650835
