Feature,Importance
quarter,7
month,21
year,48
IsHoliday,51
lag24,90
exponentially_weighted_mean_lag24_alpha0.5,142
lag48,160
is_available,165
rvk_temp,179
ak_temp,181
days_from_holiday,196
rolling_mean_lag168_window_size672,227
days_to_holiday,257
lag168,260
dayofyear,274
dayofweek,345
hour,397
