unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/BottomUp,LGBMRegressor/BottomUp-lo-90,LGBMRegressor/BottomUp-lo-80,LGBMRegressor/BottomUp-hi-80,LGBMRegressor/BottomUp-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-25 01:00:00,7.537067042338235,0.0,0.0,42.922691552188304,45.287514321623036,19.166334061352394,0.0,0.0,54.7983391159095,68.63985129295011,6.269254689347223,0.0,0.0,41.901259743904326,55.74277192094493,9.525720050241391,0.0,0.0,45.1577251047985,58.99923728183911
total,2025-05-25 02:00:00,6.119727385780775,0.0,0.0,18.839020777362542,21.45488789739255,11.675506551926947,0.0,0.0,26.0122354371111,31.42431959575071,4.87386623916245,0.0,0.0,19.21059512434661,24.622679282986216,6.807603097368085,0.0,0.0,21.144331982552245,26.556416141191853
total,2025-05-25 03:00:00,3.127342909814493,0.0,0.0,7.956342909815124,8.902241591842941,7.950096080970303,0.0,2.655120979978615,12.956239150639528,14.180280469310297,1.2227359899674741,0.0,0.0,6.228879059636699,7.452920378307471,2.9879217485044913,0.0,0.0,7.994064818173716,9.218106136844488
total,2025-05-25 04:00:00,9.23212920251801,3.9744122002832816,4.942871917587576,13.521386487448444,14.489846204752737,18.745990031241924,15.470954723912442,15.968984446461207,21.2809441517588,21.84812179365166,7.584616075978776,4.309580768649294,4.807610491198061,10.119570196495648,10.686747838388511,10.996899009182625,7.7218637018531435,8.219893424401908,13.531853129699495,14.09903077159236
total,2025-05-25 05:00:00,4.738091035392742,0.0,0.0,9.18077389845754,10.92450350231452,12.789515412797162,8.790205256530719,9.87316999211695,15.964569946228627,17.140121643198366,2.4069824690852366,0.0,0.0,5.582037002516703,6.757588699486443,5.148923512527577,1.1496133562611357,2.2325780918473654,8.323978045959045,9.499529742928782
total,2025-05-25 06:00:00,7.186402621832703,0.0,0.0,15.141163749419853,15.970512750791459,14.695441504616555,5.8338384901761975,7.1854640749743615,21.39785462926635,23.218661111661454,5.330727794216462,0.0,0.0,12.033140918866266,13.853947401261363,7.869772590690116,0.0,0.0,14.572185715339918,16.392992197735015
total,2025-05-25 07:00:00,11.639500871246465,0.7906309753583747,0.8824854821152108,22.39651626037772,22.488370767134555,13.880109806286267,6.000930254125827,7.252167665671951,20.25747934695885,22.52799710005519,11.82516578308219,3.9459862309217546,5.197223642467878,18.202535323754773,20.473053076851116,12.446233193701914,4.567053641541475,5.8182910530875995,18.823602734374496,21.09412048747084
total,2025-05-25 08:00:00,41.276426244278525,8.288264925173127,12.071909606683548,70.4809428818735,74.26458756338391,39.110197554799825,8.127649155613952,13.515298130043824,61.34851787634796,68.36697742930014,42.61264061098587,11.630092211800008,17.01774118622988,64.85096093253404,71.86942048548622,42.32903166375579,11.346483264569926,16.734132238999806,64.56735198530394,71.58581153825612
total,2025-05-25 09:00:00,87.17551903675746,13.095658832916424,31.23157961765353,143.1194584558614,161.25537924059853,78.57452222726403,6.437384524924525,33.24455092843599,125.79651866623985,133.41549404741974,92.22999281638175,20.092855114042248,46.900021517553704,139.45198925535757,147.0709646365375,88.54737342230881,16.410235719969293,43.217402123480746,135.76936986128462,143.38834524246454
total,2025-05-25 10:00:00,126.15517190755024,66.16303132416117,67.03042233430338,185.2799214807971,186.1473124909393,115.40416491105205,47.49252859083101,63.46640769192202,169.7438617220827,186.2168610055636,125.5930026274987,57.68136630727764,73.65524540836863,179.93269943852937,196.40569872201024,123.64755321607424,55.73591689585313,71.70979599694415,177.98725002710486,194.4602493105857
total,2025-05-25 11:00:00,170.61852557629808,66.24846116118206,73.78346668818091,267.45358446441526,274.9885899914141,182.0567273845912,113.41428515766599,125.29568314047981,240.02759424671314,250.86864987330353,174.8129771950035,106.17053496807827,118.05193295089212,232.78384405712535,243.62489968371577,180.40845979706248,111.76601757013728,123.64741555295112,238.37932665918436,249.22038228577478
total,2025-05-25 12:00:00,252.50675001349697,153.96112492419624,178.13060820142005,326.8828918255739,351.05237510279767,255.4075246169889,166.46265537447866,190.77475233160516,338.2599306430623,355.29061580698254,258.05682309675467,169.11195385424455,193.424050811371,340.9092291228282,357.9399142867483,259.39636034294665,170.45149110043644,194.7635880575629,342.24876636902013,359.2794515329403
total,2025-05-25 13:00:00,291.15555709341675,67.31015066873289,105.34401705632894,476.9670971305045,515.0009635181005,284.58108253098203,178.74510709909174,205.25587003160473,368.9211278623011,387.6238842300244,309.40206379671434,203.56608836482405,230.07685129733707,393.7421091280334,412.4448654957568,305.0322591275312,199.19628369564091,225.70704662815393,389.37230445885024,408.07506082657363
total,2025-05-25 14:00:00,287.25759700465585,137.63220686249238,163.0170547576878,411.4981392516239,436.88298714681935,281.93150311673173,191.67463552951548,203.15250793771372,343.8390031190485,366.0032222534461,309.063407422912,218.8065398356957,230.28441224389394,370.97090742522875,393.1351265596263,298.8755433450888,208.61867575787258,220.0965481660708,360.7830433474057,382.9472624818032
