unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-25 12:00:00,282.50129349912186,200.01665507043626,210.46434121364268,354.53824578460103,364.9859319278074,277.6644848952238,203.1480689190588,213.7631827811383,357.43086685675496,375.40146128496934,287.3075686636627,212.79115268749777,223.40626654957728,367.0739506251939,385.0445450534083
total,2025-05-25 13:00:00,329.7071036509721,122.84879391270138,153.37503452812496,506.03917277381925,536.5654133892428,335.50604624014596,227.6844480458489,244.42767645262802,414.8851102137839,431.0152357013456,338.4820679804251,230.66046978612798,247.4036981929071,417.8611319540629,433.99125744162467
total,2025-05-25 14:00:00,337.1634470617627,179.32378979574318,221.71429501927395,452.61259910425156,495.0031043277823,341.38949515817865,249.06057147242592,275.8863687651033,399.0009113090314,421.433574859843,328.741779762635,236.41285607688232,263.2386533695598,386.3531959134878,408.7858594642994
total,2025-05-25 15:00:00,341.4976779685071,269.9615955198876,279.2395211178956,403.7558348191186,413.0337604171266,354.636693864775,278.1974817309566,293.9886086376517,414.0807249606189,432.5320819777849,347.97018709968034,271.5309749658619,287.322101872557,407.41421819552426,425.86557521269026
total,2025-05-25 16:00:00,325.85025746112706,226.92033527240358,229.4458032070213,422.2547117152328,424.78017964985054,338.003443367233,234.1758316458128,255.1072235092828,413.5150985884595,435.46618952082736,331.9631950411209,228.13558331970083,249.06697518317077,407.47485026234745,429.4259411947154
total,2025-05-25 17:00:00,306.63257384023774,189.11350131964662,201.8052342599115,411.45991342056396,424.15164636082886,324.20510354659825,253.78524830932378,263.8733838724128,396.67310807936747,413.84517415726776,313.58723248644736,243.16737724917286,253.25551281226183,386.0552370192165,403.2273030971169
total,2025-05-25 18:00:00,278.1896374683678,174.4014688219433,177.78730931117147,378.59196562556406,381.97780611479226,280.70463602768075,197.62924754500278,213.26093761945353,353.36402724309244,369.18310876605716,277.00786822133966,193.93247973866167,209.56416981311241,349.66725943675135,365.4863409597161
total,2025-05-25 19:00:00,256.2753272010683,205.4600750423639,215.56068804786753,296.9899663542691,307.0905793597727,246.5213302899422,187.43158555575343,205.3366164420459,302.82459627476936,315.0049170516834,261.12099300801714,202.0312482738284,219.93627916012085,317.42425899284433,329.6045797697583
total,2025-05-25 20:00:00,150.59244421012565,90.45875807376282,94.11404664306727,207.07084177718403,210.72613034648845,147.97986535110948,67.85429100051734,81.75016552716781,207.12982813453823,222.69294490455428,161.04153115706978,80.91595680647768,94.81183133312817,220.1914939404986,235.75461071051467
total,2025-05-25 21:00:00,95.6561050415129,6.516895198822326,20.293787582213085,171.01842250081273,184.7953148842035,93.3085324528114,45.853223236012376,58.89489819195865,126.54145577119476,142.73901816179404,103.39052745276297,55.93521823596392,68.97689319191021,136.62345077114634,152.82101316174558
total,2025-05-25 22:00:00,73.40198982065145,46.707071979821436,50.36097031042931,96.4430093308736,100.09690766148147,72.84189500950393,13.359015711833258,30.162232136371617,113.05924458061922,130.9977560252563,78.72966321976385,19.246783922093197,36.05000034663156,118.94701279087914,136.88552423551624
total,2025-05-25 23:00:00,61.820234330972134,12.00057697233936,21.08180014950039,102.55866851244387,111.6398916896049,58.31277903201807,15.687585040727908,21.34167892315543,93.63916544991525,103.77565297741978,66.74098666024909,24.11579266895892,29.76988655138644,102.06737307814628,112.20386060565079
total,2025-05-26 00:00:00,8.962792429534373,1.0000065907035625,1.1144039922449522,16.811180866823793,16.925578268365186,8.026353698931224,0.0,0.0,15.223014105410961,17.093630060380306,8.998344348257058,0.0,0.9848120304511769,16.195004754736797,18.065620709706142
total,2025-05-26 01:00:00,8.585655354617694,0.0,0.0,27.59688002781056,33.06685335405844,0.0,0.0,0.0,20.804939988030434,26.33353836194949,9.580342271431501,0.0,0.0,30.79335095440655,36.3219493283256
total,2025-05-26 02:00:00,5.060821484980847,0.0,0.0,14.434303256624514,17.229391432102492,0.0,0.0,0.0,6.943066483564758,10.165697270743559,5.997529249304156,0.0,0.0,17.06166086487685,20.284291652055646
total,2025-05-26 03:00:00,5.5391229103502955,0.0,0.0,32.449171842780885,44.083866430326225,0.0,0.0,0.0,26.70651765514566,37.482799641659575,6.452498252248043,0.0,0.0,36.13140286084558,46.90768484735951
total,2025-05-26 04:00:00,7.140860000225468,3.704315212358453,3.9084301818313496,10.373289818619586,10.577404788092483,0.0,0.0,0.0,1.209996585422442,1.7223741455363268,8.19584395005571,3.814910072042744,4.785382563731916,11.412711809304513,11.9250893694184
total,2025-05-26 05:00:00,6.316846167232044,0.0,0.0,27.546067940709545,35.06602001728131,0.0,0.0,0.0,17.9285724320144,21.376865409042363,7.273511597103108,0.0,0.0,28.022032344637026,31.470325321664994
total,2025-05-26 06:00:00,4.3001566597301135,0.5827718073467526,0.7507843489270549,7.8495289705331714,8.017541512113475,0.0,0.0,0.0,1.059970198460888,2.259857030724016,5.220414331072725,0.0,0.5727960034145355,11.028894291072717,12.228781123335844
total,2025-05-26 07:00:00,7.930272466649477,0.0,0.0,17.681095620902916,18.235098658194925,0.0,0.0,0.0,3.481919784866121,5.097078150351017,8.917337948341638,2.7488335453471096,4.680410544520159,13.2855947231663,14.900753088651197
total,2025-05-26 08:00:00,41.32011548818474,2.515097234620063,3.7565943526448144,78.88363662372467,80.12513374174942,33.369818128871806,11.497297609560194,16.66530859964852,49.08115164746822,52.55368228178031,41.84570390858822,19.97318338927662,25.14119437936494,57.55703742718465,61.02956806149673
total,2025-05-26 09:00:00,80.21979462598307,30.291877930903517,36.60878771712686,123.83080153483927,130.14771132106262,72.8898270328677,32.55164706542701,41.1359553157026,105.69574388821125,115.98066793938723,76.74470735282415,36.406527385383484,44.990835635659074,109.55062420816773,119.8355482593437
total,2025-05-26 10:00:00,83.80856529874785,24.60523861471455,25.930768826845664,141.68636177065005,143.01189198278115,75.94306554966688,34.12698275393382,39.40046546878282,112.93326554702111,120.11244628545487,82.53951401865062,40.723431222917526,45.99691393776654,119.5297140160048,126.70889475443856
total,2025-05-26 11:00:00,110.81220273909183,55.78130450730903,56.7164669084872,164.90793856969646,165.84310097087462,107.7422844437221,23.587705837120488,42.58827701336736,170.05683865114855,180.6300598322147,114.91842249509624,30.763843888494637,49.76441506474151,177.2329767025227,187.80619788358885
total,2025-05-26 12:00:00,154.697566041142,86.41236829765721,92.04735925462913,217.3477728276549,222.9827637846268,154.90212214333806,79.38895534026743,92.24280728061939,219.80353361567933,234.02679126481883,164.85483315166164,89.34166634859103,102.19551828894296,229.75624462400293,243.97950227314243
total,2025-05-26 13:00:00,164.99445869065315,43.18833266931945,61.50369088860626,268.4852264927,286.80058471198686,163.10522436166,103.748636052925,113.80702773174184,210.4131060346853,224.700567340561,173.49234393379197,114.13575562505696,124.19414730387379,220.80022560681726,235.08768691269296
total,2025-05-26 14:00:00,164.65001353763807,123.58240891937845,124.89513285531882,204.40489421995733,205.7176181558977,162.38627090738865,92.63160023332125,107.94258572947372,218.54055378151833,242.38077520357993,163.92570943231723,94.17103875824985,109.48202425440232,220.07999230644694,243.92021372850854
total,2025-05-26 15:00:00,163.54831030103716,75.6209339501224,87.22892683378602,239.8676937682883,251.47568665195192,163.26977876590237,109.42867011883176,116.57850680672772,205.219414461624,212.86648701095794,165.47565646743877,111.63454782036813,118.7843845082641,207.42529216316038,215.0723647124943
total,2025-05-26 16:00:00,160.210236568791,132.9769285123127,134.72752666650075,185.69294647108126,187.4435446252693,165.26878476937935,73.98389281744926,100.57403773481336,235.58371970700455,251.5667821769519,166.21175776034457,74.92686580841448,101.51701072577856,236.52669269796976,252.50975516791715
total,2025-05-26 17:00:00,136.0388850003942,74.14346406622201,74.91974346647815,197.15802653431024,197.9343059345664,134.12591897422408,59.62957448675637,78.03967448206126,197.30817297522157,222.15273566508904,142.211636671895,67.71529218442734,86.1253921797322,205.39389067289255,230.23845336276003
total,2025-05-26 18:00:00,130.06698869795636,13.08739284175433,26.87319459635718,233.26078279955553,247.04658455415836,127.6543529852279,47.607760669415256,67.34814808683534,194.99793198548022,211.6048630357037,135.87282001343593,55.82622769762334,75.5666151150434,203.2163990136883,219.82333006391178
total,2025-05-26 19:00:00,124.57633329368332,33.89469388129698,36.82302221942227,212.32964436794435,215.25797270606967,121.64233524919405,80.24306734722138,88.53756240398677,161.57867818768796,172.996830791944,130.92644352811067,89.52717562613799,97.82167068290337,170.86278646660452,182.2809390708606
total,2025-05-26 20:00:00,95.36392339563741,0.0,2.7640174269025977,187.96382936437223,206.7573863852408,89.26657273420962,8.015537675388853,24.276616627039253,145.25289107336013,160.86674089729402,97.74613198562287,16.4950969268021,32.756175878452495,153.73245032477334,169.34630014870726
total,2025-05-26 21:00:00,64.20171382747624,13.092406848999465,23.418934468642153,104.98449318631032,115.311020805953,59.38755714227203,11.520536919723401,22.731864274556308,92.77532774568125,101.3359261220194,66.88576172989615,19.018741507347507,30.23006886218041,100.27353233330535,108.83413070964353
total,2025-05-26 22:00:00,46.211424915722674,13.328320165420159,17.048553696833125,75.37429613461222,79.09452966602518,39.285290193928724,9.053345405205343,15.249910764922104,69.69561924449577,78.74295952841281,46.75240095127806,16.520456162554662,22.717021522271427,77.16273000184509,86.21007028576214
total,2025-05-26 23:00:00,36.88280858748242,23.992975434285277,24.09661535936259,49.66900181560226,49.77264174067957,30.74496741020357,19.791654498923922,21.864717921956327,39.14026221742399,41.51333159024144,36.7073513267542,25.754038415474557,27.827101838506962,45.10264613397462,47.475715506792085
total,2025-05-27 00:00:00,9.55432306288702,1.4612507449687113,1.8768977346495994,17.23174839112444,17.647395380805328,0.0,0.0,0.0,4.176964728124773,5.4922605461530205,10.708944250446972,4.7974849629774665,5.479076440148401,14.4897124695292,15.80500828755745
total,2025-05-27 01:00:00,9.26364857659418,2.7898178437945687,2.916938752360602,15.610358400827758,15.737479309393791,0.0,0.0,0.0,0.0,0.0,11.661050476840686,7.055842534940424,8.217387915144654,14.701611659397592,15.432387592127913
total,2025-05-27 02:00:00,4.978149881706608,1.1490447037764069,1.2131717813676137,8.743127982045603,8.807255059636809,0.0,0.0,0.0,0.0,0.0,7.262493351820584,3.7103759858237146,4.450992379722345,10.009365315923652,11.007430773100381
total,2025-05-27 03:00:00,4.900544072424275,1.2659095886465113,1.5245073603901562,8.276580784458393,8.535178556202037,0.0,0.0,0.0,0.0,0.0,7.342163561130526,3.7940434810861574,4.544696628979823,10.372403714609469,11.451062025842873
total,2025-05-27 04:00:00,6.888711312822323,3.2381304754092395,3.496090428792318,10.281332196852329,10.539292150235408,0.0,0.0,0.0,0.0,0.0,9.237007060575548,4.236137464794498,6.194591660402633,12.11499085643224,13.111584448022251
